Ensembl Gene ID	Yeast Ensembl Gene ID	% Identity with respect to Yeast gene	Associated Gene Name	Description	Disease
ENSMUSG00000029507	YGL063W	28	Pus1	"pseudouridine synthase 1 [Source:MGI Symbol;Acc:MGI:1929237]"	
ENSMUSG00000029507	YPL212C	25	Pus1	"pseudouridine synthase 1 [Source:MGI Symbol;Acc:MGI:1929237]"	
ENSMUSG00000057541	YOR243C	32	Pus7	"pseudouridylate synthase 7 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1925947]"	
ENSMUSG00000001785	YLR196W	30	Pwp1	"PWP1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914735]"	
ENSMUSG00000032834	YCR057C	42	Pwp2	"PWP2 periodic tryptophan protein homolog (yeast) [Source:MGI Symbol;Acc:MGI:1341200]"	
ENSMUSG00000062078	YLR116W	16	Qk	"quaking [Source:MGI Symbol;Acc:MGI:97837]"	
ENSMUSG00000029430	YLR293C	80	Ran	"RAN, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1333112]"	
ENSMUSG00000029430	YOR185C	79	Ran	"RAN, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1333112]"	
ENSMUSG00000028292	YDR341C	37	Rars2	"arginyl-tRNA synthetase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:1923596]"	
ENSMUSG00000028292	YHR091C	34	Rars2	"arginyl-tRNA synthetase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:1923596]"	
ENSMUSG00000030779	YKL059C	27	Rbbp6	"retinoblastoma binding protein 6 [Source:MGI Symbol;Acc:MGI:894835]"	
ENSMUSG00000029594	YPR112C	31	Rbm19	"RNA binding motif protein 19 [Source:MGI Symbol;Acc:MGI:1921361]"	
ENSMUSG00000024604	YBR065C	21	Rbm22	"RNA binding motif protein 22 [Source:MGI Symbol;Acc:MGI:1914060]"	
ENSMUSG00000029701	YPL043W	27	Rbm28	"RNA binding motif protein 28 [Source:MGI Symbol;Acc:MGI:2655711]"	
ENSMUSG00000033931	YOL041C	25	Rbm34	"RNA binding motif protein 34 [Source:MGI Symbol;Acc:MGI:1098653]"	
ENSMUSG00000027620	YNL175C	19	Rbm39	"RNA binding motif protein 39 [Source:MGI Symbol;Acc:MGI:2157953]"	
ENSMUSG00000027620	YGL044C	18	Rbm39	"RNA binding motif protein 39 [Source:MGI Symbol;Acc:MGI:2157953]"	
ENSMUSG00000036733	YNL016W	12	Rbm42	"RNA binding motif protein 42 [Source:MGI Symbol;Acc:MGI:1915285]"	
ENSMUSG00000026970	YER165W	13	Rbms1	"RNA binding motif, single stranded interacting protein 1 [Source:MGI Symbol;Acc:MGI:1861774]"	
ENSMUSG00000040043	YER165W	13	Rbms2	"RNA binding motif, single stranded interacting protein 2 [Source:MGI Symbol;Acc:MGI:1861776]"	
ENSMUSG00000031107	YIR005W	42	Rbmx2	"RNA binding motif protein, X-linked 2 [Source:MGI Symbol;Acc:MGI:1919414]"	
ENSMUSG00000052406	YOL080C	31	Rexo4	"REX4, RNA exonuclease 4 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2684957]"	
ENSMUSG00000020580	YNL161W	22	Rock2	"Rho-associated coiled-coil containing protein kinase 2 [Source:MGI Symbol;Acc:MGI:107926]"	
ENSMUSG00000028187	YHR088W	45	Rpf1	"ribosome production factor 1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1917535]"	
ENSMUSG00000038510	YKR081C	38	Rpf2	"ribosome production factor 2 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914489]"	
ENSMUSG00000037805	YGL135W	59	Rpl10a	"ribosomal protein L10A [Source:MGI Symbol;Acc:MGI:1343877]"	
ENSMUSG00000037805	YPL220W	59	Rpl10a	"ribosomal protein L10A [Source:MGI Symbol;Acc:MGI:1343877]"	
ENSMUSG00000058443	YLR075W	63	Rpl10-ps3	"ribosomal protein L10, pseudogene 3 [Source:MGI Symbol;Acc:MGI:3704336]"	
ENSMUSG00000000740	YDL082W	51	Rpl13	"ribosomal protein L13 [Source:MGI Symbol;Acc:MGI:105922]"	
ENSMUSG00000000740	YMR142C	51	Rpl13	"ribosomal protein L13 [Source:MGI Symbol;Acc:MGI:105922]"	
ENSMUSG00000062083	YIL133C	53	Rpl13a-ps1	"ribosomal protein 13A, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3648883]"	
ENSMUSG00000062083	YNL069C	52	Rpl13a-ps1	"ribosomal protein 13A, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3648883]"	
ENSMUSG00000059835	YDL082W	49	Rpl13-ps3	"ribosomal protein L13, pseudogene 3 [Source:MGI Symbol;Acc:MGI:3646682]"	
ENSMUSG00000059835	YMR142C	49	Rpl13-ps3	"ribosomal protein L13, pseudogene 3 [Source:MGI Symbol;Acc:MGI:3646682]"	
ENSMUSG00000025794	YHL001W	42	Rpl14	"ribosomal protein L14 [Source:MGI Symbol;Acc:MGI:1914365]"	
ENSMUSG00000025794	YKL006W	42	Rpl14	"ribosomal protein L14 [Source:MGI Symbol;Acc:MGI:1914365]"	
ENSMUSG00000012405	YLR029C	71	Rpl15	"ribosomal protein L15 [Source:MGI Symbol;Acc:MGI:1913730]"	
ENSMUSG00000012405	YMR121C	71	Rpl15	"ribosomal protein L15 [Source:MGI Symbol;Acc:MGI:1913730]"	
ENSMUSG00000062328	YJL177W	54	Rpl17	"ribosomal protein L17 [Source:MGI Symbol;Acc:MGI:2448270]"	
ENSMUSG00000062328	YKL180W	54	Rpl17	"ribosomal protein L17 [Source:MGI Symbol;Acc:MGI:2448270]"	
ENSMUSG00000045128	YMR242C	55	Rpl18a	"ribosomal protein L18A [Source:MGI Symbol;Acc:MGI:1924058]"	
ENSMUSG00000045128	YOR312C	55	Rpl18a	"ribosomal protein L18A [Source:MGI Symbol;Acc:MGI:1924058]"	
ENSMUSG00000017404	YBL027W	57	Rpl19	"ribosomal protein L19 [Source:MGI Symbol;Acc:MGI:98020]"	
ENSMUSG00000017404	YBR084C-A	57	Rpl19	"ribosomal protein L19 [Source:MGI Symbol;Acc:MGI:98020]"	
ENSMUSG00000041453	YBR191W	59	Rpl21	"ribosomal protein L21 [Source:MGI Symbol;Acc:MGI:1278340]"	
ENSMUSG00000041453	YPL079W	59	Rpl21	"ribosomal protein L21 [Source:MGI Symbol;Acc:MGI:1278340]"	
ENSMUSG00000028936	YLR061W	47	Rpl22	"ribosomal protein L22 [Source:MGI Symbol;Acc:MGI:99262]"	
ENSMUSG00000028936	YFL034C-A	43	Rpl22	"ribosomal protein L22 [Source:MGI Symbol;Acc:MGI:99262]"	
ENSMUSG00000039221	YLR061W	44	Rpl22l1	"ribosomal protein L22 like 1 [Source:MGI Symbol;Acc:MGI:1915278]"	
ENSMUSG00000039221	YFL034C-A	39	Rpl22l1	"ribosomal protein L22 like 1 [Source:MGI Symbol;Acc:MGI:1915278]"	
ENSMUSG00000071415	YBL087C	79	Rpl23	"ribosomal protein L23 [Source:MGI Symbol;Acc:MGI:1929455]"	
ENSMUSG00000071415	YER117W	79	Rpl23	"ribosomal protein L23 [Source:MGI Symbol;Acc:MGI:1929455]"	
ENSMUSG00000058546	YOL127W	64	Rpl23a	"ribosomal protein L23A [Source:MGI Symbol;Acc:MGI:3040672]"	
ENSMUSG00000078126	YOL127W	63	Rpl23a-ps3	"ribosomal protein L23A, pseudogene 3 [Source:MGI Symbol;Acc:MGI:3781353]"	
ENSMUSG00000060938	YGR034W	52	Rpl26	"ribosomal protein L26 [Source:MGI Symbol;Acc:MGI:106022]"	
ENSMUSG00000060938	YLR344W	52	Rpl26	"ribosomal protein L26 [Source:MGI Symbol;Acc:MGI:106022]"	
ENSMUSG00000063316	YDR471W	56	Rpl27	"ribosomal protein L27 [Source:MGI Symbol;Acc:MGI:98036]"	
ENSMUSG00000063316	YHR010W	56	Rpl27	"ribosomal protein L27 [Source:MGI Symbol;Acc:MGI:98036]"	
ENSMUSG00000046364	YGL103W	62	Rpl27a	"ribosomal protein L27A [Source:MGI Symbol;Acc:MGI:1347076]"	
ENSMUSG00000048758	YFR032C-A	66	Rpl29	"ribosomal protein L29 [Source:MGI Symbol;Acc:MGI:99687]"	
ENSMUSG00000060036	YOR063W	67	Rpl3	"ribosomal protein L3 [Source:MGI Symbol;Acc:MGI:1351605]"	
ENSMUSG00000058600	YGL030W	58	Rpl30	"ribosomal protein L30 [Source:MGI Symbol;Acc:MGI:98037]"	
ENSMUSG00000057841	YBL092W	62	Rpl32	"ribosomal protein L32 [Source:MGI Symbol;Acc:MGI:98038]"	
ENSMUSG00000062997	YDL136W	58	Rpl35	"ribosomal protein L35 [Source:MGI Symbol;Acc:MGI:1913739]"	
ENSMUSG00000062997	YDL191W	58	Rpl35	"ribosomal protein L35 [Source:MGI Symbol;Acc:MGI:1913739]"	
ENSMUSG00000057863	YPL249C-A	46	Rpl36	"ribosomal protein L36 [Source:MGI Symbol;Acc:MGI:1860603]"	
ENSMUSG00000057863	YMR194W	45	Rpl36	"ribosomal protein L36 [Source:MGI Symbol;Acc:MGI:1860603]"	
ENSMUSG00000079435	YHR141C	75	Rpl36a	"ribosomal protein L36A [Source:MGI Symbol;Acc:MGI:1201789]"	
ENSMUSG00000079435	YNL162W	75	Rpl36a	"ribosomal protein L36A [Source:MGI Symbol;Acc:MGI:1201789]"	
ENSMUSG00000046330	YJR094W-A	66	Rpl37a	"ribosomal protein L37a [Source:MGI Symbol;Acc:MGI:98068]"	
ENSMUSG00000046330	YPR043W	66	Rpl37a	"ribosomal protein L37a [Source:MGI Symbol;Acc:MGI:98068]"	
ENSMUSG00000032399	YBR031W	57	Rpl4	"ribosomal protein L4 [Source:MGI Symbol;Acc:MGI:1915141]"	
ENSMUSG00000032399	YDR012W	57	Rpl4	"ribosomal protein L4 [Source:MGI Symbol;Acc:MGI:1915141]"	
ENSMUSG00000058558	YPL131W	48	Rpl5	"ribosomal protein L5 [Source:MGI Symbol;Acc:MGI:102854]"	
ENSMUSG00000029614	YLR448W	46	Rpl6	"ribosomal protein L6 [Source:MGI Symbol;Acc:MGI:108057]"	
ENSMUSG00000029614	YML073C	45	Rpl6	"ribosomal protein L6 [Source:MGI Symbol;Acc:MGI:108057]"	
ENSMUSG00000063888	YGL076C	32	Rpl7l1	"ribosomal protein L7-like 1 [Source:MGI Symbol;Acc:MGI:1913479]"	
ENSMUSG00000063888	YPL198W	32	Rpl7l1	"ribosomal protein L7-like 1 [Source:MGI Symbol;Acc:MGI:1913479]"	
ENSMUSG00000003970	YFR031C-A	72	Rpl8	"ribosomal protein L8 [Source:MGI Symbol;Acc:MGI:1350927]"	
ENSMUSG00000003970	YIL018W	72	Rpl8	"ribosomal protein L8 [Source:MGI Symbol;Acc:MGI:1350927]"	
ENSMUSG00000030062	YJL002C	25	Rpn1	"ribophorin I [Source:MGI Symbol;Acc:MGI:98084]"	
ENSMUSG00000024800	YHR062C	25	Rpp30	"ribonuclease P/MRP 30 subunit [Source:MGI Symbol;Acc:MGI:1859683]"	
ENSMUSG00000052146	YOR293W	53	Rps10	"ribosomal protein S10 [Source:MGI Symbol;Acc:MGI:1914347]"	
ENSMUSG00000052146	YMR230W	52	Rps10	"ribosomal protein S10 [Source:MGI Symbol;Acc:MGI:1914347]"	
ENSMUSG00000003429	YBR048W	69	Rps11	"ribosomal protein S11 [Source:MGI Symbol;Acc:MGI:1351329]"	
ENSMUSG00000003429	YDR025W	69	Rps11	"ribosomal protein S11 [Source:MGI Symbol;Acc:MGI:1351329]"	
ENSMUSG00000061983	YOR369C	46	Rps12	"ribosomal protein S12 [Source:MGI Symbol;Acc:MGI:98105]"	
ENSMUSG00000090862	YDR064W	77	Rps13	"ribosomal protein S13 [Source:MGI Symbol;Acc:MGI:1915302]"	
ENSMUSG00000024608	YCR031C	80	Rps14	"ribosomal protein S14 [Source:MGI Symbol;Acc:MGI:98107]"	
ENSMUSG00000024608	YJL191W	79	Rps14	"ribosomal protein S14 [Source:MGI Symbol;Acc:MGI:98107]"	
ENSMUSG00000063457	YOL040C	61	Rps15	"ribosomal protein S15 [Source:MGI Symbol;Acc:MGI:98117]"	
ENSMUSG00000008683	YJL190C	77	Rps15a	"ribosomal protein S15A [Source:MGI Symbol;Acc:MGI:2389091]"	
ENSMUSG00000008683	YLR367W	76	Rps15a	"ribosomal protein S15A [Source:MGI Symbol;Acc:MGI:2389091]"	
ENSMUSG00000037563	YDL083C	63	Rps16	"ribosomal protein S16 [Source:MGI Symbol;Acc:MGI:98118]"	
ENSMUSG00000037563	YMR143W	63	Rps16	"ribosomal protein S16 [Source:MGI Symbol;Acc:MGI:98118]"	
ENSMUSG00000008668	YDR450W	69	Rps18	"ribosomal protein S18 [Source:MGI Symbol;Acc:MGI:98146]"	
ENSMUSG00000008668	YML026C	69	Rps18	"ribosomal protein S18 [Source:MGI Symbol;Acc:MGI:98146]"	
ENSMUSG00000040952	YOL121C	50	Rps19	"ribosomal protein S19 [Source:MGI Symbol;Acc:MGI:1333780]"	
ENSMUSG00000040952	YNL302C	49	Rps19	"ribosomal protein S19 [Source:MGI Symbol;Acc:MGI:1333780]"	
ENSMUSG00000044533	YGL123W	58	Rps2	"ribosomal protein S2 [Source:MGI Symbol;Acc:MGI:105110]"	
ENSMUSG00000028234	YHL015W	52	Rps20	"ribosomal protein S20 [Source:MGI Symbol;Acc:MGI:1914677]"	
ENSMUSG00000039001	YJL136C	54	Rps21	"ribosomal protein S21 [Source:MGI Symbol;Acc:MGI:1913731]"	
ENSMUSG00000039001	YKR057W	54	Rps21	"ribosomal protein S21 [Source:MGI Symbol;Acc:MGI:1913731]"	
ENSMUSG00000049517	YGR118W	77	Rps23	"ribosomal protein S23 [Source:MGI Symbol;Acc:MGI:1913725]"	
ENSMUSG00000049517	YPR132W	77	Rps23	"ribosomal protein S23 [Source:MGI Symbol;Acc:MGI:1913725]"	
ENSMUSG00000025290	YER074W	54	Rps24	"ribosomal protein S24 [Source:MGI Symbol;Acc:MGI:98147]"	
ENSMUSG00000025290	YIL069C	54	Rps24	"ribosomal protein S24 [Source:MGI Symbol;Acc:MGI:98147]"	
ENSMUSG00000009927	YGR027C	45	Rps25	"ribosomal protein S25 [Source:MGI Symbol;Acc:MGI:1922867]"	
ENSMUSG00000009927	YLR333C	44	Rps25	"ribosomal protein S25 [Source:MGI Symbol;Acc:MGI:1922867]"	
ENSMUSG00000025362	YER131W	62	Rps26	"ribosomal protein S26 [Source:MGI Symbol;Acc:MGI:1351628]"	
ENSMUSG00000025362	YGL189C	62	Rps26	"ribosomal protein S26 [Source:MGI Symbol;Acc:MGI:1351628]"	
ENSMUSG00000020460	YLR167W	82	Rps27a	"ribosomal protein S27A [Source:MGI Symbol;Acc:MGI:1925544]"	
ENSMUSG00000036781	YHR021C	70	Rps27l	"ribosomal protein S27-like [Source:MGI Symbol;Acc:MGI:1915191]"	
ENSMUSG00000036781	YKL156W	68	Rps27l	"ribosomal protein S27-like [Source:MGI Symbol;Acc:MGI:1915191]"	
ENSMUSG00000067288	YLR264W	73	Rps28	"ribosomal protein S28 [Source:MGI Symbol;Acc:MGI:1859516]"	
ENSMUSG00000067288	YOR167C	73	Rps28	"ribosomal protein S28 [Source:MGI Symbol;Acc:MGI:1859516]"	
ENSMUSG00000030744	YNL178W	66	Rps3	"ribosomal protein S3 [Source:MGI Symbol;Acc:MGI:1350917]"	
ENSMUSG00000028081	YLR441C	51	Rps3a1	"ribosomal protein S3A1 [Source:MGI Symbol;Acc:MGI:1202063]"	
ENSMUSG00000028081	YML063W	51	Rps3a1	"ribosomal protein S3A1 [Source:MGI Symbol;Acc:MGI:1202063]"	
ENSMUSG00000031320	YHR203C	72	Rps4x	"ribosomal protein S4, X-linked [Source:MGI Symbol;Acc:MGI:98158]"	
ENSMUSG00000031320	YJR145C	72	Rps4x	"ribosomal protein S4, X-linked [Source:MGI Symbol;Acc:MGI:98158]"	
ENSMUSG00000012848	YJR123W	63	Rps5	"ribosomal protein S5 [Source:MGI Symbol;Acc:MGI:1097682]"	
ENSMUSG00000028495	YBR181C	63	Rps6	"ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]"	
ENSMUSG00000028495	YPL090C	63	Rps6	"ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]"	
ENSMUSG00000061477	YOR096W	55	Rps7	"ribosomal protein S7 [Source:MGI Symbol;Acc:MGI:1333818]"	
ENSMUSG00000061477	YNL096C	52	Rps7	"ribosomal protein S7 [Source:MGI Symbol;Acc:MGI:1333818]"	
ENSMUSG00000047675	YBL072C	62	Rps8	"ribosomal protein S8 [Source:MGI Symbol;Acc:MGI:98166]"	
ENSMUSG00000047675	YER102W	62	Rps8	"ribosomal protein S8 [Source:MGI Symbol;Acc:MGI:98166]"	
ENSMUSG00000006333	YBR189W	68	Rps9	"ribosomal protein S9 [Source:MGI Symbol;Acc:MGI:1924096]"	
ENSMUSG00000006333	YPL081W	68	Rps9	"ribosomal protein S9 [Source:MGI Symbol;Acc:MGI:1924096]"	
ENSMUSG00000032518	YLR048W	56	Rpsa	"ribosomal protein SA [Source:MGI Symbol;Acc:MGI:105381]"	"Arrhythmogenic Right Ventricular Dysplasia, Familial, 5; ARVD5"
ENSMUSG00000032518	YGR214W	55	Rpsa	"ribosomal protein SA [Source:MGI Symbol;Acc:MGI:105381]"	"Arrhythmogenic Right Ventricular Dysplasia, Familial, 5; ARVD5"
ENSMUSG00000047676	YLR048W	56	Rpsa-ps10	"ribosomal protein SA, pseudogene 10 [Source:MGI Symbol;Acc:MGI:3704228]"	
ENSMUSG00000047676	YGR214W	55	Rpsa-ps10	"ribosomal protein SA, pseudogene 10 [Source:MGI Symbol;Acc:MGI:3704228]"	
ENSMUSG00000027324	YDL036C	35	Rpusd2	"RNA pseudouridylate synthase domain containing 2 [Source:MGI Symbol;Acc:MGI:1918066]"	
ENSMUSG00000027324	YOL066C	29	Rpusd2	"RNA pseudouridylate synthase domain containing 2 [Source:MGI Symbol;Acc:MGI:1918066]"	
ENSMUSG00000061032	YDR087C	23	Rrp1	"ribosomal RNA processing 1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1203500]"	
ENSMUSG00000035049	YPL012W	23	Rrp12	"ribosomal RNA processing 12 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2147437]"	
ENSMUSG00000058392	YDR087C	24	Rrp1b	"ribosomal RNA processing 1 homolog B (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1919712]"	
ENSMUSG00000030888	YDR083W	29	Rrp8	"ribosomal RNA processing 8, methyltransferase, homolog (yeast) [Source:MGI Symbol;Acc:MGI:1914251]"	
ENSMUSG00000041506	YPR137W	25	Rrp9	"RRP9, small subunit (SSU) processome component, homolog (yeast) [Source:MGI Symbol;Acc:MGI:2384313]"	
ENSMUSG00000061024	YOR294W	38	Rrs1	"RRS1 ribosome biogenesis regulator homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1929721]"	
ENSMUSG00000000339	YOL010W	20	Rtca	"RNA 3'-terminal phosphate cyclase [Source:MGI Symbol;Acc:MGI:1913618]"	
ENSMUSG00000027304	YGL244W	24	Rtf1	"Rtf1, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1309480]"	
ENSMUSG00000070699	YDR023W	22	Sars2	"seryl-aminoacyl-tRNA synthetase 2 [Source:MGI Symbol;Acc:MGI:1919234]"	
ENSMUSG00000025337	YLR022C	42	Sbds	"Shwachman-Bodian-Diamond syndrome homolog (human) [Source:MGI Symbol;Acc:MGI:1913961]"	
ENSMUSG00000029415	YGR245C	34	Sdad1	"SDA1 domain containing 1 [Source:MGI Symbol;Acc:MGI:2140779]"	
ENSMUSG00000055319	YOR022C	16	Sec23ip	"Sec23 interacting protein [Source:MGI Symbol;Acc:MGI:2450915]"	
ENSMUSG00000030082	YLR378C	54	Sec61a1	"Sec61 alpha 1 subunit (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1858417]"	
ENSMUSG00000019802	YOR254C	22	Sec63	"SEC63-like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2155302]"	"Polycystic Liver Disease; PCLD"
ENSMUSG00000024949	YLR116W	37	Sf1	"splicing factor 1 [Source:MGI Symbol;Acc:MGI:1095403]"	
ENSMUSG00000002129	YJL203W	29	Sf3a1	"splicing factor 3a, subunit 1 [Source:MGI Symbol;Acc:MGI:1914715]"	
ENSMUSG00000020211	YDL043C	27	Sf3a2	"splicing factor 3a, subunit 2 [Source:MGI Symbol;Acc:MGI:104912]"	
ENSMUSG00000028902	YDL030W	22	Sf3a3	"splicing factor 3a, subunit 3 [Source:MGI Symbol;Acc:MGI:1922312]"	
ENSMUSG00000025982	YMR288W	50	Sf3b1	"splicing factor 3b, subunit 1 [Source:MGI Symbol;Acc:MGI:1932339]"	
ENSMUSG00000024853	YMR240C	30	Sf3b2	"splicing factor 3b, subunit 2 [Source:MGI Symbol;Acc:MGI:2441856]"	
ENSMUSG00000068856	YOR319W	33	Sf3b4	"splicing factor 3b, subunit 4 [Source:MGI Symbol;Acc:MGI:109580]"	
ENSMUSG00000016018	YJL050W	50	Skiv2l2	"superkiller viralicidic activity 2-like 2 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1919448]"	
ENSMUSG00000014606	YLR348C	37	Slc25a11	"solute carrier family 25 (mitochondrial carrier oxoglutarate carrier), member 11 [Source:MGI Symbol;Acc:MGI:1915113]"	
ENSMUSG00000016319	YBR085W	52	Slc25a5	"solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5 [Source:MGI Symbol;Acc:MGI:1353496]"	
ENSMUSG00000016319	YBL030C	50	Slc25a5	"solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5 [Source:MGI Symbol;Acc:MGI:1353496]"	
ENSMUSG00000016319	YMR056C	50	Slc25a5	"solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5 [Source:MGI Symbol;Acc:MGI:1353496]"	
ENSMUSG00000010095	YBR299W	15	Slc3a2	"solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2 [Source:MGI Symbol;Acc:MGI:96955]"	
ENSMUSG00000010095	YGR292W	15	Slc3a2	"solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2 [Source:MGI Symbol;Acc:MGI:96955]"	
ENSMUSG00000010095	YGR287C	14	Slc3a2	"solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2 [Source:MGI Symbol;Acc:MGI:96955]"	
ENSMUSG00000010095	YIL172C	14	Slc3a2	"solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2 [Source:MGI Symbol;Acc:MGI:96955]"	
ENSMUSG00000010095	YJL221C	14	Slc3a2	"solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2 [Source:MGI Symbol;Acc:MGI:96955]"	
ENSMUSG00000010095	YOL157C	14	Slc3a2	"solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2 [Source:MGI Symbol;Acc:MGI:96955]"	
ENSMUSG00000010095	YJL216C	12	Slc3a2	"solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2 [Source:MGI Symbol;Acc:MGI:96955]"	
ENSMUSG00000041133	YFL008W	29	Smc1a	"structural maintenance of chromosomes 1A [Source:MGI Symbol;Acc:MGI:1344345]"	
ENSMUSG00000003660	YER172C	39	Snrnp200	"small nuclear ribonucleoprotein 200 (U5) [Source:MGI Symbol;Acc:MGI:2444401]"	
ENSMUSG00000063511	YIL061C	27	Snrnp70	"small nuclear ribonucleoprotein 70 (U1) [Source:MGI Symbol;Acc:MGI:98341]"	
ENSMUSG00000061479	YIR009W	29	Snrpa	"small nuclear ribonucleoprotein polypeptide A [Source:MGI Symbol;Acc:MGI:1855690]"	
ENSMUSG00000027404	YER029C	30	Snrpb	"small nuclear ribonucleoprotein B [Source:MGI Symbol;Acc:MGI:98342]"	
ENSMUSG00000002477	YGR074W	38	Snrpd1	"small nuclear ribonucleoprotein D1 [Source:MGI Symbol;Acc:MGI:98344]"	
ENSMUSG00000020180	YLR147C	46	Snrpd3	"small nuclear ribonucleoprotein D3 [Source:MGI Symbol;Acc:MGI:1914582]"	
ENSMUSG00000021039	YAL032C	31	Snw1	"SNW domain containing 1 [Source:MGI Symbol;Acc:MGI:1913604]"	
ENSMUSG00000073079	YPR088C	47	Srp54a	"signal recognition particle 54A [Source:MGI Symbol;Acc:MGI:1346087]"	
ENSMUSG00000079108	YPR088C	47	Srp54b	"signal recognition particle 54B [Source:MGI Symbol;Acc:MGI:3714357]"	
ENSMUSG00000021020	YPR088C	47	Srp54c	"signal recognition particle 54C [Source:MGI Symbol;Acc:MGI:3714359]"	
ENSMUSG00000004865	YMR216C	30	Srpk1	"serine/arginine-rich protein specific kinase 1 [Source:MGI Symbol;Acc:MGI:106908]"	
ENSMUSG00000062604	YMR216C	29	Srpk2	"serine/arginine-rich protein specific kinase 2 [Source:MGI Symbol;Acc:MGI:1201408]"	
ENSMUSG00000032042	YDR292C	31	Srpr	"signal recognition particle receptor ('docking protein') [Source:MGI Symbol;Acc:MGI:1914648]"	
ENSMUSG00000018379	YDR432W	18	Srsf1	"serine/arginine-rich splicing factor 1 [Source:MGI Symbol;Acc:MGI:98283]"	
ENSMUSG00000028911	YDR432W	18	Srsf4	"serine/arginine-rich splicing factor 4 [Source:MGI Symbol;Acc:MGI:1890577]"	
ENSMUSG00000021134	YDR432W	17	Srsf5	"serine/arginine-rich splicing factor 5 [Source:MGI Symbol;Acc:MGI:98287]"	
ENSMUSG00000016921	YDR432W	18	Srsf6	"serine/arginine-rich splicing factor 6 [Source:MGI Symbol;Acc:MGI:1915246]"	
ENSMUSG00000029538	YDR432W	16	Srsf9	"serine/arginine-rich splicing factor 9 [Source:MGI Symbol;Acc:MGI:104896]"	
ENSMUSG00000068882	YDL051W	19	Ssb	"Sjogren syndrome antigen B [Source:MGI Symbol;Acc:MGI:98423]"	
ENSMUSG00000027067	YML069W	32	Ssrp1	"structure specific recognition protein 1 [Source:MGI Symbol;Acc:MGI:107912]"	
ENSMUSG00000024966	YOR027W	37	Stip1	"stress-induced phosphoprotein 1 [Source:MGI Symbol;Acc:MGI:109130]"	
ENSMUSG00000030224	YMR146C	24	Strap	"serine/threonine kinase receptor associated protein [Source:MGI Symbol;Acc:MGI:1329037]"	
ENSMUSG00000026797	YDR164C	21	Stxbp1	"syntaxin binding protein 1 [Source:MGI Symbol;Acc:MGI:107363]"	
ENSMUSG00000022205	YMR039C	13	Sub1	"SUB1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:104811]"	
ENSMUSG00000052738	YOR142W	56	Suclg1	"succinate-CoA ligase, GDP-forming, alpha subunit [Source:MGI Symbol;Acc:MGI:1927234]"	
ENSMUSG00000026021	YDR510W	50	Sumo1	"SMT3 suppressor of mif two 3 homolog 1 (yeast) [Source:MGI Symbol;Acc:MGI:1197010]"	
ENSMUSG00000020738	YDR510W	43	Sumo2	"SMT3 suppressor of mif two 3 homolog 2 (yeast) [Source:MGI Symbol;Acc:MGI:2158813]"	
ENSMUSG00000035726	YGL207W	34	Supt16	"suppressor of Ty 16 [Source:MGI Symbol;Acc:MGI:1890948]"	
ENSMUSG00000003435	YML010W	26	Supt5	"suppressor of Ty 5 [Source:MGI Symbol;Acc:MGI:1202400]"	
ENSMUSG00000002052	YGR116W	26	Supt6	"suppressor of Ty 6 [Source:MGI Symbol;Acc:MGI:107726]"	
ENSMUSG00000020079	YPL029W	28	Supv3l1	"suppressor of var1, 3-like 1 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2441711]"	
